District,Component_1,Component_2
24 Paraganas North,-52.784058,-18.112885
24 Paraganas South,-58.576984,-17.217627
Agar Malwa,-49.79704,18.367605
Agra,47.773872,-10.029848
Ahmadabad,-24.77109,25.427258
Ahmednagar,-39.308784,37.54164
Aizawl,-13.479446,-64.74841
Ajmer,41.230473,-26.67838
Akola,-34.902374,35.57673
Alappuzha,2.995285,42.652126
Aligarh,44.028305,-0.3150158
Alipurduar,-54.046326,-15.457163
Alirajpur,-41.594498,-5.855178
Almora,40.080776,-9.011103
Alwar,44.82052,-37.578205
Ambala,53.12282,0.2553702
Ambedkar Nagar,46.60609,-10.081995
Amethi,49.979473,-13.046224
Amravati,-42.005386,37.396706
Amreli,-18.372017,11.502512
Amritsar,40.819065,3.8390148
Amroha,50.735558,3.6352596
Anand,-19.417946,9.375434
Anantapur,25.70398,47.59968
Anantnag,25.860163,6.075414
Anjaw,-19.678978,-53.512207
Anugul,-36.69096,3.8371449
Anuppur,-28.66035,-16.25326
Araria,28.90614,0.93106043
Ariyalur,61.881798,26.039928
Arvalli,-30.057867,12.576259
Arwal,27.33877,10.0012045
Ashoknagar,-36.567657,2.180949
Auraiya,44.12681,-1.9787525
Aurangabad,-6.7530365,27.946941
Ayodhya,26.878683,41.903133
Azamgarh,50.691177,-13.45446
Bagalkote,-6.864329,-11.765081
Bageshwar,38.199135,-9.492113
Baghpat,53.575874,11.155054
Bahraich,62.281452,-14.235245
Baksa,-25.31818,-0.17570142
Balaghat,-50.340088,-1.2026933
Balangir,-49.766308,-4.5513773
Baleshwar,-28.14656,-6.514062
Ballari,0.73431426,-23.761097
Ballia,46.957584,-13.0025835
Balod,-51.72422,0.8075487
Baloda Bazar,-53.16974,3.741799
Balrampur,6.209784,-0.640344
Banas Kantha,-45.723152,17.873877
Banda,47.31386,-8.223413
Bandipora,23.586065,7.2589655
Banka,24.067019,10.663676
Bankura,-60.76478,-18.786894
Banswara,40.82382,-21.919552
Barabanki,42.32319,6.20039
Baramulla,25.885143,-1.3733584
Baran,41.604774,-26.811092
Bareilly,48.592957,-4.4627795
Bargarh,-36.656883,4.922705
Barmer,46.916847,-39.847244
Barnala,42.297836,20.38528
Barpeta,-23.02793,8.71489
Barwani,-27.657436,-18.052505
Bastar,-49.512836,10.0375595
Basti,47.81728,-9.634165
Bathinda,40.527557,13.997248
Beed,-33.5707,37.13933
Begusarai,17.259237,22.291546
Belagavi,-11.249089,-7.168824
Bemetara,-56.989983,6.9584074
Bengaluru Rural,-5.649454,-6.4135017
Bengaluru Urban,-4.8171663,-6.5211
Betul,-28.78246,-18.832306
Bhadohi,42.70936,24.05952
Bhadrak,-18.129423,7.807531
Bhagalpur,16.202152,23.705158
Bhandara,-41.46515,33.77248
Bharatpur,34.58707,-13.918844
Bharuch,-41.34486,25.353024
Bhavnagar,-21.671858,19.088772
Bhilwara,41.319,-27.116161
Bhind,-34.765846,20.626833
Bhiwani,51.088234,2.5907218
Bhojpur,14.168544,25.663916
Bhopal,-34.17963,14.502222
Bidar,-10.311254,-4.9751005
Bijapur,-29.520197,-0.94761866
Bijnor,48.356678,-10.629063
Bikaner,38.641193,-24.19676
Bilaspur,-12.507704,3.5746398
Birbhum,-61.332672,-19.06491
Bishnupur,16.797998,26.542965
Biswanath,-17.4843,2.9130979
Bokaro,-41.17642,2.971243
Bongaigaon,-15.6816435,4.5153418
Botad,-40.24413,29.54533
Boudh,-35.814587,7.708323
Budaun,54.309498,-1.943021
Budgam,25.15559,12.731504
Bulandshahr,49.070175,4.8145347
Buldhana,-35.224068,36.574543
Bundi,46.625984,-40.113327
Burhanpur,-12.337887,-21.034986
Buxar,19.115368,19.837175
Cachar,-22.507471,6.788048
Chamarajanagara,-8.500795,-6.8235674
Chamba,30.997147,-14.144183
Chamoli,32.54903,-24.332737
Champawat,38.23997,-8.480403
Champhai,-18.80968,-62.3667
Chandauli,47.383923,-12.912516
Chandel,-11.052645,-75.89361
Chandrapur,-43.59332,38.306023
Changlang,-27.405262,-50.25245
Charaideo,-17.959906,1.2143633
Charki Dadri,51.521873,3.5075066
Chatra,-40.99039,0.0729817
Chengalpattu,62.840282,25.776423
Chennai,63.384655,26.952297
Chhatarpur,-44.99196,-1.1831125
Chhindwara,-47.838253,-2.0592883
Chhotaudepur,-22.406052,11.685263
Chikkaballapura,-8.74493,-7.140767
Chikkamagaluru,-8.672714,-5.69495
Chirang,-23.334196,-4.5882196
Chitradurga,-12.974657,-8.13077
Chitrakoot,39.012516,25.40661
Chittoor,-4.7243814,63.25013
Chittorgarh,38.076344,-17.191257
Churachandpur,-17.01331,-67.69357
Churu,38.319286,-15.578115
Coimbatore,60.95926,24.995726
Coochbehar,-52.490685,-20.377554
Cuddalore,63.60802,29.011868
Cuttack,-25.708187,-5.4699945
Dadra And Nagar Haveli,-73.269775,51.308247
Dakshina Kannada,-5.9075284,-6.756089
Daman,-74.48812,48.1738
Damoh,-49.19608,3.1355138
Dang,-34.101448,4.7167845
Dantewada,-40.44474,18.145206
Darbhanga,37.965446,-16.657728
Darjeeling,-51.892742,-12.06731
Darrang,-20.60541,6.3369617
Datia,-32.881927,9.261047
Dausa,43.694023,-39.974506
Davangere,-16.286232,1.1814485
Dehradun,20.315662,0.26747742
Deogarh,-36.58561,9.6922245
Deoghar,-40.755646,-1.7558798
Deoria,46.387333,-13.76655
Devbhumi Dwarka,-17.923851,15.667646
