State lgd code,State,District lgd code,District,Yearcode,Households that applied for a job card,Job cards issued,Job cards issued for scheduled caste,Job cards issued for scheduled tribes,Job cards issued for non scheduled tribes or scheduled caste,Households that demanded work,Persons who demanded work,Households that were allotted work,Persons that were allotted work,Muster rolls filled,Households that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Persons that worked under mahatma gandhi national rural employment guarantee act (mgnrega),Households that reached a 100 day limit,Persons with disability,Non scheduled tribes or scheduled caste houeholds that worked,Total person days worked by non scheduled tribes or scheduled caste persons.,Scheduled caste houeholds that worked,Total person days worked scheduled caste persons,Scheduled tribe houeholds that worked,Total person days worked scheduled tribe persons,Households that worked on land reform or indira awas yojana,Total person days worked by women,Total person days,Scheduled caste households that reached a 100 day limit,Scheduled tribe households that reached a 100 day limit,Labour expenditure that has been disbursed,Material expenditure that has been disbursed,Labour expenditure both disbursed and pending,Material expenditure both disbursed and pending,Amount sanctioned,Works under mahatma gandhi national rural employment guarantee act (mgnrega),Total bank accounts,Individual bank accounts,Joint bank accounts,Amount disbursed to bank accounts,Post office accounts,Individual post office accounts,Joint post office accounts,Amount disbursed to post office accounts
1,Jammu And Kashmir,1,Anantnag,2011,54411.0,39369.0,27.0,3257.0,36085.0,25226.0,55222.0,25098.0,54938.0,5100.0,24484.0,53337.0,939.0,19.0,22289.0,1057941.0,18.0,1027.0,2177.0,85060.0,250.0,331588.0,1144028.0,0.0,55.0,1087.27,1073.89,1344.51,1489.25,5449.28,27954.0,40666.0,27093.0,13573.0,71303212.0,5875.0,3264.0,2611.0,20954501.0
1,Jammu And Kashmir,1,Anantnag,2012,67486.0,55717.0,30.0,3820.0,51867.0,34569.0,76605.0,34380.0,76096.0,8942.0,33738.0,74034.0,1702.0,21.0,31394.0,1582363.0,10.0,430.0,2334.0,97881.0,349.0,505959.0,1680674.0,0.0,56.0,2104.73,1660.0,2111.3,1666.83,839137.36,40190.0,74081.0,68437.0,5644.0,123892241.0,2864.0,1674.0,1190.0,8005814.0
1,Jammu And Kashmir,1,Anantnag,2013,72022.0,60807.0,34.0,3917.0,56856.0,38214.0,66308.0,38188.0,66220.0,13631.0,34576.0,57954.0,1726.0,26.0,32889.0,1407181.0,21.0,652.0,1666.0,61958.0,315.0,365371.0,1469791.0,2.0,36.0,1901.7,1227.56,1960.41,1292.32,85017.53,36299.0,84805.0,79041.0,5764.0,185087705.0,2585.0,1531.0,1054.0,991848.0
1,Jammu And Kashmir,1,Anantnag,2014,79197.0,74665.0,33.0,4851.0,69781.0,21501.0,36724.0,21478.0,36676.0,6844.0,17667.0,28779.0,242.0,13.0,16957.0,484883.0,7.0,210.0,703.0,20781.0,110.0,127059.0,505874.0,0.0,7.0,739.09,1040.93,767.27,1066.45,6967.18,19485.0,116182.0,110495.0,5687.0,70248477.0,2325.0,1469.0,856.0,121787.0
1,Jammu And Kashmir,1,Anantnag,2015,91509.0,86636.0,37.0,4976.0,81623.0,54947.0,118467.0,54939.0,118339.0,25124.0,49756.0,101614.0,2921.0,57.0,47529.0,2341948.0,24.0,1181.0,2203.0,98898.0,418.0,700842.0,2442027.0,1.0,84.0,2358.25,2161.0,2365.92,2186.14,2237866.0,49481.0,167455.0,161638.0,5817.0,228564362.0,1892.0,1408.0,484.0,664223.0
1,Jammu And Kashmir,1,Anantnag,2016,91631.0,87600.0,33.0,4768.0,82799.0,47636.0,102433.0,47623.0,102411.0,14667.0,42776.0,87052.0,892.0,64.0,41326.0,2026537.0,10.0,410.0,1440.0,61898.0,274.0,614857.0,2088845.0,0.0,17.0,2865.67,2360.84,2870.59,2394.13,627187.82,31906.0,169927.0,168816.0,1111.0,205101041.0,1.0,1.0,0.0,0.0
1,Jammu And Kashmir,1,Anantnag,2017,95866.0,92541.0,33.0,4728.0,87780.0,67674.0,145800.0,67657.0,145712.0,32129.0,63409.0,127924.0,4993.0,98.0,60921.0,4027636.0,23.0,1141.0,2465.0,149884.0,415.0,1381666.0,4178661.0,0.0,108.0,6824.83,2952.16,6944.82,4958.66,136750.26,40854.0,202907.0,202037.0,870.0,557016402.0,1.0,1.0,0.0,0.0
1,Jammu And Kashmir,1,Anantnag,2018,102984.0,99887.0,48.0,4987.0,94852.0,78575.0,166193.0,78535.0,166046.0,33312.0,73895.0,147864.0,8236.0,144.0,70972.0,5172053.0,24.0,1433.0,2899.0,193069.0,483.0,1807588.0,5366555.0,3.0,155.0,5400.6,3240.47,5534.25,3272.76,30055.55,43946.0,210086.0,209828.0,258.0,520269577.0,1.0,1.0,0.0,0.0
1,Jammu And Kashmir,1,Anantnag,2019,102924.0,100170.0,0.0,5062.0,95108.0,57474.0,107524.0,57461.0,107482.0,15418.0,47306.0,82773.0,393.0,83.0,45061.0,1920689.0,0.0,0.0,2245.0,92852.0,0.0,706176.0,2013541.0,0.0,0.0,7708.05,2877.5,7756.12,2902.45,39306.99,66182.0,211900.0,211483.0,417.0,689244786.0,1.0,1.0,0.0,0.0
1,Jammu And Kashmir,1,Anantnag,2020,105521.0,101238.0,0.0,5176.0,96062.0,70127.0,138031.0,70040.0,137787.0,37462.0,65731.0,121554.0,2793.0,132.0,62664.0,4024422.0,0.0,0.0,3067.0,186065.0,0.0,1458645.0,4210487.0,0.0,0.0,11732.46,3103.57,11814.56,3768.76,44433.19,66453.0,211305.0,210939.0,366.0,1120193249.0,1.0,1.0,0.0,0.0
